,depth,hid_feature,num_tfmamba,d_state,d_conv,expand,#parameters,model_size,#parameters(KB),exp_name
176,1,16,1,32,2,4,49681,228.263671875,48.5166015625,dep1_h16_tf1_ds32_dc2_ex4
177,1,16,1,32,3,2,30481,153.263671875,29.7666015625,dep1_h16_tf1_ds32_dc3_ex2
178,1,16,1,32,3,3,40209,191.263671875,39.2666015625,dep1_h16_tf1_ds32_dc3_ex3
179,1,16,1,32,3,4,49937,229.263671875,48.7666015625,dep1_h16_tf1_ds32_dc3_ex4
180,1,16,2,4,1,2,29041,165.158203125,28.3603515625,dep1_h16_tf2_ds4_dc1_ex2
181,1,16,2,4,1,3,37489,198.158203125,36.6103515625,dep1_h16_tf2_ds4_dc1_ex3
182,1,16,2,4,1,4,45937,231.158203125,44.8603515625,dep1_h16_tf2_ds4_dc1_ex4
183,1,16,2,4,2,2,29297,166.158203125,28.6103515625,dep1_h16_tf2_ds4_dc2_ex2
184,1,16,2,4,2,3,37873,199.658203125,36.9853515625,dep1_h16_tf2_ds4_dc2_ex3
185,1,16,2,4,2,4,46449,233.158203125,45.3603515625,dep1_h16_tf2_ds4_dc2_ex4
186,1,16,2,4,3,2,29553,167.158203125,28.8603515625,dep1_h16_tf2_ds4_dc3_ex2
187,1,16,2,4,3,3,38257,201.158203125,37.3603515625,dep1_h16_tf2_ds4_dc3_ex3
188,1,16,2,4,3,4,46961,235.158203125,45.8603515625,dep1_h16_tf2_ds4_dc3_ex4
189,1,16,2,8,1,2,32113,177.158203125,31.3603515625,dep1_h16_tf2_ds8_dc1_ex2
190,1,16,2,8,1,3,42097,216.158203125,41.1103515625,dep1_h16_tf2_ds8_dc1_ex3
191,1,16,2,8,1,4,52081,255.158203125,50.8603515625,dep1_h16_tf2_ds8_dc1_ex4
192,1,16,2,8,2,2,32369,178.158203125,31.6103515625,dep1_h16_tf2_ds8_dc2_ex2
193,1,16,2,8,2,3,42481,217.658203125,41.4853515625,dep1_h16_tf2_ds8_dc2_ex3
194,1,16,2,8,2,4,52593,257.158203125,51.3603515625,dep1_h16_tf2_ds8_dc2_ex4
195,1,16,2,8,3,2,32625,179.158203125,31.8603515625,dep1_h16_tf2_ds8_dc3_ex2
196,1,16,2,8,3,3,42865,219.158203125,41.8603515625,dep1_h16_tf2_ds8_dc3_ex3
197,1,16,2,8,3,4,53105,259.158203125,51.8603515625,dep1_h16_tf2_ds8_dc3_ex4
198,1,16,2,16,1,2,38257,201.291015625,37.3603515625,dep1_h16_tf2_ds16_dc1_ex2
199,1,16,2,16,1,3,51313,252.291015625,50.1103515625,dep1_h16_tf2_ds16_dc1_ex3
200,1,16,2,16,1,4,64369,303.291015625,62.8603515625,dep1_h16_tf2_ds16_dc1_ex4
201,1,16,2,16,2,2,38513,202.291015625,37.6103515625,dep1_h16_tf2_ds16_dc2_ex2
202,1,16,2,16,2,3,51697,253.791015625,50.4853515625,dep1_h16_tf2_ds16_dc2_ex3
203,1,16,2,16,2,4,64881,305.291015625,63.3603515625,dep1_h16_tf2_ds16_dc2_ex4
204,1,16,2,16,3,2,38769,203.291015625,37.8603515625,dep1_h16_tf2_ds16_dc3_ex2
